"feature_id_full","feature_id","feature_mz","feature_rt","sirius_molecularformula"
"2314_547.22_2.8",2314,547.215901119253,2.8183882,"C26H36O11"
"2315_376.23_2.8",2315,376.233036408387,2.8190403,"C18H30O7"
"2316_411.2_2.8",2316,411.19916796422,2.8202353,"C17H28N6O7"
"2317_779.2_2.8",2317,779.200473898375,2.8205295,"C33H40O20"
"2318_600.27_2.8",2318,600.265455937476,2.8218393,"C28H38O13"
"2319_605.22_2.8",2319,605.22097133645,2.8218393,"C28H38O13"
"232_1008.36_0.6",232,1008.36225151446,0.6168845,"C36H62O31"
"2320_127.04_2.8",2320,127.039167337111,2.821936,"C6H8O4"
"2321_439.16_2.8",2321,439.157847131294,2.8220098,"C21H28O11"
"2322_359.34_2.8",2322,359.342335069428,2.8224897,"C24H44N2O"
"2323_797.08_2.8",2323,797.083132657334,2.8228812,"C33H26O22"
"2324_984.13_2.8",2324,984.131179126989,2.8228812,NA
"2325_757.22_2.8",2325,757.218576945921,2.8233724,"C33H40O20"
"2326_133.1_2.8",2326,133.101360884671,2.8235097,"C10H14O"
"2327_648.12_2.8",2327,648.11970518575,2.8235688,"C30H22N4O8S2"
"2328_259.06_2.8",2328,259.060537266258,2.8239198,"C14H12O6"
"2329_546.18_2.8",2329,546.181488885196,2.8242917,"C23H28O14"
"233_284.13_0.6",233,284.13431187331,0.61734045,"C11H22O3S2"
"2330_551.14_2.8",2330,551.136900423761,2.8242917,"C23H28O14"
"2331_463.18_2.8",2331,463.179187655286,2.8243527,"C18H32O12"
"2332_249.11_2.8",2332,249.112393271899,2.8244727,"C14H18O5"
"2333_287.05_2.8",2333,287.054741462424,2.8255188,"C15H12O7"
"2334_484.15_2.8",2334,484.145477020914,2.8259373,"C21H22O12"
"2335_489.1_2.8",2335,489.100720557795,2.8265426,"C18H26O13"
"2336_305.07_2.8",2336,305.065845091469,2.8271,"C15H14O8"
"2337_415.37_2.8",2337,415.368687143207,2.8287513,"C27H48N2O2"
"2338_482.26_2.8",2338,482.260075179563,2.829464,"C21H36O11"
"2339_208.19_2.8",2339,208.188235130314,2.8303328,NA
"234_203.06_0.6",234,203.055202007223,0.6174079,"C8H10O6"
"2340_325.11_2.8",2340,325.107197412317,2.8312566,"C19H16O5"
"2341_342.13_2.8",2341,342.133729394425,2.8312566,"C19H16O5"
"2342_508.29_2.8",2342,508.290592446886,2.8312497,"C27H38O8"
"2343_195.03_2.8",2343,195.02909882328,2.8316011,"C9H8O6"
"2344_215.07_2.8",2344,215.070458383806,2.8316011,"C13H12O4"
"2345_243.07_2.8",2345,243.065444244105,2.8316011,"C14H12O5"
"2346_271.06_2.8",2346,271.060384353875,2.8316011,"C15H12O6"
"2347_289.07_2.8",2347,289.070732391699,2.8316011,"C15H14O7"
